"performer","beat_1","beat_2","beat_3","beat_4","intensity_1","intensity_2","intensity_3","intensity_4","bar"
"CH",0.269578702507108,0.237701214784182,0.231584388730938,0.261135693977772,-0.00974025974025965,0.0194805194805198,0.0649350649350649,-0.0162337662337662,"19"
"CH",0.231205146880311,0.244395727118233,0.269482884195193,0.254916241806264,-0.0551948051948053,0.113636363636364,-0.0454545454545456,-0.0162337662337662,"20"
"CH",0.224448683155638,0.259887948917055,0.263650811401678,0.252012556525629,-0.0876623376623378,0.107142857142858,0.00324675324675306,-0.0357142857142855,"21"
"CH",0.25563788893033,0.271615256988476,0.239660520872185,0.233086333209009,0.0324675324675325,-0.0616883116883119,0.103896103896104,-0.0292207792207794,"22"
"CH",0.236507769423559,0.256641604010025,0.270008521303258,0.236842105263158,-0.0324675324675325,0.0292207792207794,0.0357142857142855,0.0519480519480522,"23"
"CH",0.261029411764706,0.24035931372549,0.233905392156863,0.264705882352941,0.0227272727272724,-0.0422077922077921,0.00974025974025965,-0.0227272727272724,"24"
"CH",0.216602124414507,0.246558576826402,0.272064622755617,0.264774676003474,-0.0487012987012987,0.0584415584415584,-0.00649350649350659,-0.0649350649350649,"25"
"CH",0.237724420563131,0.220510631222098,0.250929256902751,0.29083569131202,-0.298701298701299,0.27922077922078,0.0162337662337662,0.0584415584415584,"26"
"CH",0.249671708981058,0.239480715022377,0.240605670060002,0.270241905936562,-0.0129870129870132,-0.0259740259740259,0.00974025974025965,0.110389610389611,"27"
"CH",0.2274743546765,0.295750139680411,0.210451670577718,0.26632383506537,-0.126623376623377,0.0519480519480522,-0.00974025974026011,0.035714285714286,"28"
"CH",0.245198285792944,0.252867949257935,0.244692950504123,0.257240814444998,-0.12987012987013,0.0162337662337662,-0.0194805194805198,0.113636363636364,"29"
"CH",0.216606498194946,0.227436823104693,0.263537906137184,0.292418772563177,-0.162337662337662,0.0681818181818185,0.0194805194805193,0.0389610389610391,"30"
"CH",0.296105737169635,0.254119095801382,0.224028300795499,0.225746866233484,0.0357142857142855,-0.0551948051948048,0.0357142857142855,-0.0616883116883119,"31"
"CH",0.242787598958703,0.259319208855497,0.238573983330303,0.259319208855497,0.035714285714286,-0.0422077922077921,-0.00649350649350659,0.0519480519480518,"32"
"CH",0.227120333988212,0.274036345776031,0.258502946954813,0.240340373280943,0.0714285714285715,-0.0519480519480518,-0.0227272727272728,0.0162337662337662,"33"
"CH",0.239488117001828,0.219378427787934,0.273004113345521,0.268129341864717,-0.0259740259740259,-0.00649350649350659,0.0487012987012987,0.0649350649350649,"34"
"CH",0.291473862481653,0.255598058033194,0.228708140453878,0.224219939031275,-0.0389610389610391,-0.0779220779220781,-0.0649350649350649,0.0454545454545456,"35"
"CH",0.256958547365906,0.237725480826663,0.258033687731454,0.247282284075977,0.123376623376623,-0.0746753246753246,-0.0844155844155842,0.0194805194805193,"36"
"CH",0.232354416061139,0.246040097487299,0.255882015088111,0.265723471363452,0.0909090909090908,-0.00649350649350659,-0.00324675324675306,-0.0584415584415584,"37"
"CH",0.290640284889206,0.226601174045747,0.23152697529664,0.251231565768406,-0.175324675324676,0.0194805194805198,0.155844155844156,-0.0162337662337662,"38"
"CH",0.261083630092923,0.246305302694782,0.241379501443889,0.251231565768406,0.0194805194805193,0.0649350649350649,-0.0259740259740259,-0.0227272727272728,"39"
"CH",0.22488026687803,0.237888642028804,0.255681856411761,0.281549234681405,0.116883116883117,-0.113636363636364,-0.0876623376623378,0.146103896103896,"40"
"CH",0.206421959168016,0.288990742835223,0.224770721109312,0.279816576887449,0.103896103896104,-0.103896103896104,0.00324675324675306,0.0454545454545456,"41"
"CH",0.269000418935903,0.24398659405111,0.260787599497277,0.22622538751571,-0.035714285714286,0,0,-0.266233766233766,"42"
"CH",0.195445451878689,0.335015690220015,0.240403892428232,0.229134965473064,-0.0422077922077926,-0.0454545454545452,-0.142857142857143,-0.11038961038961,"43"
"CH",0.310810810810811,0.243243243243243,0.226034628378378,0.219911317567568,-0.262987012987013,0.24025974025974,0.0194805194805193,0.116883116883117,"44"
"CH",0.21733142013917,0.276343985790611,0.256117917144838,0.250206676925381,-0.0941558441558444,0.217532467532468,0.116883116883117,-0.123376623376623,"45"
"CH",0.237628580393381,0.264937578347044,0.280144444956972,0.217289396302602,-0.224025974025974,0.0649350649350649,0.168831168831169,-0.165584415584415,"46"
"CH",0.256684449083481,0.219251133146535,0.278074986952709,0.245989430817274,0,0.181818181818182,-0.0162337662337662,-0.0811688311688312,"47"
"CH",0.23396826171875,0.245361328125,0.2837421875,0.23692822265625,0.0649350649350649,0.136363636363636,0.116883116883117,-0.152597402597402,"48"
"CH",0.232344594139979,0.227837109013663,0.282161695379779,0.257656601466578,0.0551948051948048,0.133116883116883,-0.0227272727272728,-0.0259740259740259,"49"
"CH",0.203756714729997,0.239052576594468,0.243308543136322,0.313882165539213,-0.0681818181818185,0.0876623376623378,-0.116883116883117,0.0259740259740259,"50"
"CH",0.232147773240861,0.247563003117603,0.233689213555415,0.286600010086121,0,0.0129870129870132,-0.142857142857143,0.0779220779220781,"51"
"CH",0.236611709523259,0.235162365130452,0.245967805955694,0.282258119390595,-0.0422077922077926,-0.0551948051948048,-0.107142857142858,-0.256493506493506,"52"
"CH",0.302520968681596,0.268095027823657,0.210896505922202,0.218487497572545,0.0779220779220777,-0.0259740259740259,0.262987012987013,0.0227272727272724,"53"
"CH",0.232964361235347,0.260920102055926,0.25713472002544,0.248980816683287,0.217532467532468,0.0129870129870132,0.0324675324675325,-0.0681818181818185,"54"
