"performer","beat_1","beat_2","beat_3","intensity_1","intensity_2","intensity_3","bar"
"CH",0.339622721609132,0.346698194975989,0.313679083414878,-0.00250626566416061,-0.0651629072681703,-0.0827067669172932,"44"
"CH",0.320591589417765,0.346428425542059,0.332979985040175,0.12781954887218,0,-0.0802005012531329,"45"
"CH",0.306997655529416,0.361173752222913,0.331828592247671,-0.0275689223057643,0.0451127819548871,-0.167919799498747,"46"
"CH",0.324742351737719,0.367445197795154,0.307812450467126,0.180451127819549,0.0927318295739349,-0.167919799498747,"47"
"CH",0.378736411396172,0.309455402775536,0.311808185828293,0.037593984962406,0.0401002506265666,-0.175438596491228,"48"
"CH",0.350300517001478,0.333468111527277,0.316231371471245,0.235588972431077,-0.0175438596491229,-0.0325814536340851,"49"
"CH",0.333058271057788,0.354036570065693,0.312905158876519,-0.0200501253132831,0.012531328320802,0,"50"
"CH",0.359296643392803,0.347000415326529,0.293702941280668,0.0401002506265663,-0.0726817042606514,-0.0225563909774438,"51"
"CH",0.380952345148613,0.32832080577383,0.290726849077557,0.0827067669172932,0.0175438596491229,-0.115288220551378,"52"
"CH",0.34719443750346,0.380985227424054,0.271820335072486,0.18796992481203,-0.0726817042606518,-0.0401002506265663,"53"
"CH",0.332839259259259,0.343703703703704,0.323457037037037,0.0676691729323309,-0.0350877192982458,0.0300751879699249,"54"
"CH",0.347661785545583,0.331758526216344,0.320579688238073,0.0100250626566414,-0.037593984962406,-0.0100250626566414,"55"
"CH",0.338957377292183,0.340807181812006,0.320235440895812,0.0200501253132831,0.0401002506265663,-0.0300751879699245,"56"
"CH",0.28954127533519,0.370674117216423,0.339784607448388,0.050125313283208,-0.0175438596491229,-0.0325814536340851,"57"
"CH",0.302918634149836,0.404970402997696,0.292110962852468,0.0651629072681703,-0.0802005012531329,0.0275689223057646,"58"
"CH",0.298766051741368,0.365777474027087,0.335456474231545,0.050125313283208,-0.0551378446115289,-0.195488721804511,"59"
"CH",0.383505075565964,0.29072158954194,0.325773334892096,-0.0726817042606518,-0.0325814536340851,-0.137844611528822,"60"
"CH",0.346341388459214,0.300000146341535,0.353658465199251,0.0350877192982454,0.117794486215539,-0.0977443609022554,"61"
"CH",0.338028169014085,0.361502112676056,0.300469718309859,0.0175438596491225,0.107769423558898,-0.025062656641604,"62"
"CH",0.335025465742504,0.335025465742504,0.329949068514992,-0.0551378446115289,0.0977443609022554,0.0225563909774438,"63"
"CH",0.354298709414005,0.316234544504656,0.32946674608134,-0.0275689223057643,-0.012531328320802,0.075187969924812,"64"
"CH",0.331741925598586,0.334129037200707,0.334129037200707,0.0476190476190474,0.0701754385964912,0.0401002506265666,"65"
"CH",0.362980703356107,0.326922993712978,0.310096302930915,0.0325814536340851,0,-0.0200501253132831,"66"
"CH",0.314420790369355,0.349881808426814,0.335697401203831,0.0476190476190474,-0.130325814536341,-0.0175438596491229,"67"
"CH",0.282275587625563,0.352297657637787,0.36542675473665,-0.0802005012531329,0.0175438596491229,0.06265664160401,"68"
"CH",0.391902618395306,0.318844171765105,0.289253209839589,-0.0350877192982458,0.0275689223057646,-0.167919799498747,"69"
"CH",0.323337373467983,0.305800291937431,0.370862334594586,0.0726817042606514,0.0576441102756895,-0.00501253132832087,"70"
"CH",0.342281879194631,0.331095973154362,0.326622147651007,-0.0526315789473686,-0.0802005012531326,0.00751879699248113,"71"
"CH",0.339506172839506,0.333333333333333,0.327160493827161,-0.00751879699248113,0.0451127819548871,-0.135338345864662,"72"
"CH",0.330943998086714,0.335139801548986,0.333916200364301,0.00751879699248113,0.012531328320802,-0.220551378446115,"73"
"CH",0.344935154651972,0.335153332697683,0.319911512650345,0.300751879699248,-0.192982456140351,0.142857142857143,"74"
"CH",0.352197696307041,0.279578518227807,0.368223785465152,-0.278195488721804,0.350877192982456,-0.453634085213033,"75"
"CH",0.263012879288766,0.333689926975211,0.403297193736022,0.363408521303258,-0.208020050125313,-0.19047619047619,"76"
"CH",0.319002158559674,0.310292752143486,0.37070508929684,0.195488721804511,0.12781954887218,-0.458646616541353,"77"
"CH",0.253378635181049,0.296171583957687,0.450449780861264,0.368421052631579,0.0802005012531329,-0.503759398496241,"78"
"CH",0.45176972721948,0.304029638127807,0.244200634652712,0.340852130325815,0.152882205513784,0.0426065162907269,"79"
"CH",0.344771078431373,0.320169607843137,0.33505931372549,0.0275689223057643,0.0701754385964915,-0.012531328320802,"80"
"CH",0.453781512605042,0.298319327731092,0.247899159663866,0.0325814536340851,0.00250626566416026,0.012531328320802,"81"
"CH",0.327868801153145,0.308494875855403,0.363636322991452,-0.037593984962406,-0.0275689223057643,0.0852130325814534,"82"
"CH",0.3627760685249,0.312302740598505,0.324921190876596,-0.0802005012531326,0.130325814536341,0.0325814536340855,"83"
