"performer","beat_1","beat_2","beat_3","beat_4","beat_5","beat_6","intensity_1","intensity_2","intensity_3","intensity_4","intensity_5","intensity_6"
"CH",0.19708014811668,0.150851714706778,0.138686030156182,0.158607183498406,0.160127620344803,0.194647303177151,0.104046242774566,-0.0450867052023122,-0.0265895953757225,0.114450867052023,-0.0138728323699422,-0.0184971098265897
"CH",0.154822120513229,0.180203345229275,0.16243633564374,0.16243633564374,0.164974914968253,0.175126948001763,0.0115606936416185,-0.00578034682080925,0.0104046242774567,-0.053179190751445,0.0196531791907513,-0.00115606936416178
"CH",0.17058048876271,0.154218025431724,0.187004959082769,0.15009603701522,0.15747782142873,0.180622668278848,0.077456647398844,-0.06242774566474,-0.00231213872832373,-0.00578034682080925,0.0566473988439307,-0.0682080924855492
"CH",0.162166364712763,0.157842479921254,0.161676343457111,0.161676343457111,0.156920926118775,0.199717542332986,0.0716763005780347,-0.038150289017341,0.00924855491329477,-0.091329479768786,0.0670520231213872,-0.0289017341040462
"CH",0.1755554503703,0.18000012000008,0.157778105185403,0.1755554503703,0.168888779259186,0.14222209481473,0.015028901734104,0.030057803468208,-0.0427745664739883,-0.0959537572254337,0.0797687861271677,-0.0196531791907515
"CH",0.170773258436505,0.152967515850708,0.163069666856355,0.165467506857909,0.15587542742775,0.191846624570774,0.122543352601156,-0.0289017341040462,-0.0381502890173412,-0.046242774566474,0.0658959537572255,-0.0578034682080925
"CH",0.193965475438475,0.165948455614557,0.144396305087003,0.165948455614557,0.168103412046678,0.161637896198729,-0.00231213872832373,-0.030057803468208,-0.00693641618497103,-0.0497109826589597,0.116763005780347,0.0046242774566473
"CH",0.178857116830789,0.151820191406009,0.162219056870882,0.158059385901043,0.155979862375848,0.19306438661543,-0.0497109826589595,-0.0161849710982658,-0.00231213872832373,-0.06242774566474,0.0855491329479769,0
"CH",0.163192372431447,0.157758954182734,0.195483709005008,0.214346343631552,0.130322301193068,0.13889631955619,-0.0520231213872832,-0.0369942196531792,0.00809248554913298,-0.0658959537572255,0.0520231213872832,0.0196531791907515
"CH",0.145142012467724,0.170766779371187,0.165908825929812,0.161363826962767,0.175000187499957,0.181818367768553,0.0786127167630057,-0.023121387283237,-0.0138728323699422,-0.0774566473988439,0.145664739884393,-0.0589595375722544
"CH",0.19090917768599,0.184090992768633,0.159090754132161,0.17045462293392,0.136363698347136,0.159090754132161,0.0786127167630059,0.0289017341040462,0.0485549132947976,-0.0658959537572253,0.00346820809248552,-0.0196531791907515
"CH",0.174778501155199,0.157079832504462,0.150442665831269,0.181526508511834,0.179092659492774,0.157079832504462,0.0289017341040462,0.0115606936416185,-0.0369942196531792,-0.0936416184971098,0.084393063583815,-0.0658959537572255
"CH",0.146919737876653,0.170616194604832,0.180094635115941,0.165876618898872,0.149437037647885,0.187055775855818,0.0254335260115607,0.0566473988439307,0.00578034682080925,-0.0127167630057804,0.00115606936416195,-0.0254335260115607
"CH",0.158783408791165,0.171021434988028,0.159703104974288,0.144765280986488,0.163867936040439,0.201858834219592,-0.0127167630057804,0.0242774566473989,-0.0289017341040462,-0.0786127167630057,0.0739884393063583,-0.00578034682080925
"CH",0.168643832351329,0.162681212776326,0.16480058054888,0.182733984426594,0.161384694095982,0.159755695800889,0.0439306358381503,0.0346820809248555,0.0127167630057804,-0.0254335260115607,0.00924855491329477,0.0184971098265897
"CH",0.148512865340533,0.187246716825675,0.174916421949426,0.141137139740906,0.162199539149998,0.185987316993462,0.021965317919075,-0.023121387283237,-0.0497109826589595,-0.038150289017341,-0.0358381502890174,0.0127167630057804
"CH",0.165048706287036,0.165048706287036,0.162621037562603,0.14320405669706,0.150485606560385,0.21359188660588,0.0797687861271675,0.0670520231213874,-0.00578034682080925,-0.0358381502890174,0.0601156069364162,-0.0335260115606937
