"performer","beat_1","beat_2","beat_3","beat_4","beat_5","beat_6","beat_7","beat_8","intensity_1","intensity_2","intensity_3","intensity_4","intensity_5","intensity_6","intensity_7","intensity_8","bar"
"CH",0.106387365781854,0.140744477371444,0.125717018625439,0.110898716044649,0.130019048033125,0.120936894455846,0.129970629204327,0.135325850483315,-0.0363423212192264,0.0293083235638921,-0.0222743259085579,-0.0117233294255569,0.00234466588511124,-0.00468933177022264,-0.0562719812426729,0.0128956623681125,"13"
"CH",0.124845928459249,0.129273901724383,0.126179140554031,0.130374936106989,0.118499973074448,0.106344984299313,0.116370117757358,0.148111018024229,0.0422039859320046,-0.0351699882766706,-0.0152403282532239,0.0797186400937866,0.0222743259085581,-0.00820633059788983,-0.0539273153575615,0.0668229777256741,"14"
"CH",0.129925808544688,0.133582996964299,0.109260467436773,0.11333996922359,0.104108827304761,0.126371445657354,0.139120192359852,0.144290292508682,0.0128956623681125,-0.0422039859320046,-0.0187573270808911,-0.0398593200468932,0.0386869871043376,-0.097303634232122,0,-0.0011723329425557,"15"
"CH",0.137211487894426,0.116001253496762,0.126981976966423,0.122423046630112,0.126130405971262,0.118039087649826,0.121846805444479,0.131365935946709,0.0316529894490035,-0.0023446658851114,0.0187573270808911,-0.0937866354044549,0.063305978898007,-0.0691676436107855,0.0304806565064478,-0.00351699882766702,"16"
"CH",0.129129632383225,0.124384981860446,0.125117151117313,0.111059017039766,0.132614822625338,0.123711256985274,0.133577701886187,0.120405436102451,0.0339976553341149,0.0117233294255569,0.0433763188745603,-0.0679953106682298,0.0351699882766706,0.00468933177022281,-0.0621336459554514,0.0234466588511137,"17"
"CH",0.1187950205659,0.109461249296357,0.11709794466714,0.114976672880508,0.116673748779267,0.127704742121205,0.138735735463142,0.156554886226482,0.0410316529894489,-0.0785463071512309,-0.00351699882766702,-0.0468933177022274,0.0375146541617819,-0.044548651817116,0.00703399765533413,-0.0175849941383353,"18"
"CH",0.142866073920847,0.134889341378707,0.118981393382254,0.109828894137673,0.117787529524412,0.122562710756456,0.116553358365904,0.136530698533747,0.0844079718640093,-0.144196951934349,0.0539273153575616,-0.0855803048065651,-0.0211019929660023,0.00586166471277843,0.284876905041032,0.0164126611957797,"19"
"CH",0.112497211256315,0.112497211256315,0.113869131348882,0.124844728423632,0.117984891626584,0.155026970460114,0.150911210182412,0.112368645445745,-0.13599062133646,0.137162954279015,-0.145369284876905,0.124267291910903,-0.033997655334115,0.0492379835873388,-0.159437280187573,-0.0398593200468934,"20"
"CH",0.119034372177957,0.113401418099943,0.118353456266721,0.139461508289311,0.108139888211044,0.111420602833231,0.133263655042642,0.156925099079151,0.0633059788980071,0.141852286049238,0.0550996483001173,-0.00820633059788983,0.0574443141852287,-0.0128956623681126,-0.0890973036342321,0.00820633059788983,"21"
"CH",0.100823874603025,0.115437464249297,0.112875172873908,0.137590870311319,0.118689358968952,0.149381168178874,0.134660664333207,0.130541426481417,-0.00937866354044545,0.0504103165298945,-0.078546307151231,0.0726846424384526,-0.0187573270808911,0.0128956623681126,-0.0762016412661196,-0.0797186400937867,"22"
