"performer","beat_1","beat_2","beat_3","beat_4","intensity_1","intensity_2","intensity_3","intensity_4"
"CH",0.246235549508493,0.233039146204801,0.262599050744972,0.258126253541734,0.0122222222222223,0.0144444444444444,0.0366666666666666,-0.0455555555555555
"CH",0.272313317666457,0.227279811923048,0.270703981188583,0.229702889221912,0.021111111111111,-0.0244444444444445,0.00111111111111121,-0.0166666666666667
"CH",0.213949247834676,0.235560147900522,0.259332421617789,0.291158182647014,0.0277777777777778,-0.0422222222222222,0.00777777777777765,-0.0099999999999999
"CH",0.270077896053995,0.264006607663,0.242833459741655,0.22308203654135,-0.0322222222222223,-0.0633333333333334,-0.00777777777777765,-0.0400000000000001
"CH",0.225480875620759,0.260233480737159,0.257142821821041,0.257142821821041,0.0333333333333333,-0.00111111111111105,-0.0266666666666667,-0.0522222222222222
"CH",0.246286728487246,0.240772023415879,0.244705993425589,0.268235254671286,0.108888888888889,-0.0222222222222222,-0.0311111111111112,0.0266666666666667
"CH",0.24733709197695,0.259722741254232,0.239788991400449,0.253151175368369,-0.00222222222222225,0.0211111111111112,0.02,0.00111111111111105
"CH",0.249096433079182,0.236339563972044,0.275014000084886,0.239550002863888,0.0577777777777778,-0.0111111111111111,-0.0311111111111111,-0.0144444444444444
"CH",0.218126920576764,0.250690668951661,0.247320426072568,0.283861984399007,0.0633333333333334,-0.048888888888889,-0.0122222222222222,-0.0566666666666668
"CH",0.221557714286605,0.261136296883777,0.268001897827393,0.249304091002226,0.0100000000000001,0.0133333333333334,0.0311111111111111,-0.0344444444444445
"CH",0.252032393292683,0.235327743902439,0.255144817073171,0.257495045731707,-0.0255555555555555,0.0400000000000001,0.0455555555555555,-0.0111111111111111
"CH",0.272907299819233,0.251696307853943,0.231137455933574,0.244258936393251,-0.0533333333333333,-0.00777777777777781,0.00888888888888886,0.00555555555555556
"CH",0.210803410249079,0.236746916460862,0.253993380573904,0.298456292716155,0.00444444444444451,-0.0111111111111111,-0.0122222222222223,-0.0744444444444444
"CH",0.255771634140883,0.201811152262905,0.276789748063422,0.265627465532789,0.0811111111111112,-0.0466666666666667,-0.0533333333333333,0.0688888888888888
"CH",0.221901077433802,0.258029114100794,0.306159052903075,0.213910755562329,0.00666666666666668,-0.0233333333333333,-0.113333333333333,0.107777777777778
"CH",0.246494823221358,0.245753181048989,0.259689949240571,0.248062046489082,0.00111111111111113,0.0222222222222222,-0.0244444444444445,0.0522222222222223
"CH",0.253086419753086,0.242798225308642,0.246913580246914,0.257201774691358,0.0166666666666667,0.0166666666666667,0.0233333333333333,-0.0144444444444444
"CH",0.238000095249988,0.263999967000004,0.25399984325002,0.244000094499988,0.0122222222222223,-0.0100000000000001,0.0144444444444444,-0.0033333333333333
"CH",0.228796882841389,0.258382670716468,0.246548355566437,0.266272090875706,-0.00444444444444451,-0.0133333333333332,0.0266666666666666,-0.0255555555555555
"CH",0.246093810081497,0.253906189918503,0.210937551498426,0.289062448501574,-0.0166666666666667,0.0033333333333333,-0.0799999999999999,-0.0233333333333333
"CH",0.274193456929619,0.24395151763502,0.239919511078567,0.241935514356794,0.107777777777778,0.00777777777777781,0.05,-0.0233333333333334
"CH",0.230912360335196,0.255121159217877,0.245810055865922,0.268156424581006,0.0322222222222223,-0.0633333333333334,-0.0111111111111111,-0.0288888888888888
"CH",0.24466016448299,0.24466016448299,0.279611616551988,0.231068054482032,0.0299999999999999,0.0466666666666667,0.0166666666666667,-0.0122222222222222
"CH",0.236893296493532,0.250485406494489,0.252252639289728,0.26036865772225,-0.03,0.0255555555555555,-0.0344444444444444,-0.0600000000000001
"CH",0.262745220588235,0.249019485294118,0.245098161764706,0.243137132352941,0.121111111111111,-0.0644444444444444,-0.0566666666666668,-0.0177777777777777
"CH",0.27087560197612,0.250509133081831,0.251193450713665,0.227421814228384,0.0422222222222222,0.00888888888888886,-0.00222222222222225,-0.0311111111111111
